# id  x  y  V  eV  BV  eBV m_ini
10        1044.36  1088.96    31.26     0.18     1.41     0.18   0.1500
11         986.51  1038.77    31.71     0.11     1.79     0.29   0.1500
12        1023.94   990.54    31.67     0.10     1.76     0.20   0.1500
14        1003.61   937.20    31.49     0.20     1.73     0.19   0.1500
15        1060.68  1189.85    31.45     0.14     1.64     0.16   0.1501
16        1072.09  1039.31    31.21     0.26     1.49     0.12   0.1501
17         945.22  1087.10    31.72     0.21     1.62     0.16   0.1501
18        1033.49   977.68    31.26     0.30     1.42     0.18   0.1501
19        1181.93  1093.04    31.97     0.31     1.33     0.22   0.1501
110        990.32  1015.74    31.83     0.40     1.59     0.12   0.1501
111        964.99  1165.61    31.60     0.16     1.74     0.15   0.1501
112       1062.41   874.04    31.38     0.18     1.54     0.19   0.1501
113        921.30  1093.56    31.47     0.17     1.82     0.16   0.1501
114       1071.95  1060.52    31.86     0.20     1.31     0.20   0.1502
115       1007.44  1121.86    31.39     0.16     1.77     0.24   0.1502
116       1051.77   942.69    31.40     0.13     1.63     0.11   0.1502
117       1139.40   875.01    31.71     0.17     1.41     0.13   0.1502
118       1096.72   924.25    30.99     0.31     1.62     0.12   0.1502
119       1082.54  1012.08    31.23     0.26     1.41     0.18   0.1502
120       1157.34   934.08    31.51     0.20     1.70     0.10   0.1502
121       1041.65  1119.76    31.94     0.16     1.37     0.18   0.1502
122        999.89   923.69    31.62     0.28     1.61     0.12   0.1502
123        996.55  1016.12    31.45     0.18     1.41     0.28   0.1502
124       1113.38  1103.83    31.50     0.23     1.68     0.11   0.1503
125        975.57  1088.78    31.43     0.31     1.64     0.13   0.1503
126        921.73   847.79    31.65     0.17     1.41     0.22   0.1503
127        988.07  1086.84    31.53     0.11     1.38     0.13   0.1503
128        950.78   994.90    31.58     0.35     1.63     0.24   0.1503
129       1008.81  1020.30    31.49     0.17     1.87     0.33   0.1503
130        852.15   974.61    31.50     0.19     1.81     0.20   0.1503
131       1021.06   996.37    31.72     0.20     1.43     0.17   0.1503
132        968.47  1058.13    31.55     0.15     1.49     0.15   0.1503
