# id  x  y  V  eV  BV  eBV
17  1148.056289  1021.403034  21.516832  0.219514  1.519322  0.259804
117  1215.125893  1048.362947  21.146883  0.356862  1.542087  0.131841
118  1093.693379  1093.597798  21.096527  0.238071  1.238815  0.366061
119  971.650007  1032.206090  21.713638  0.129369  1.556833  0.388583
122  1103.646003  1191.193416  21.490149  0.185680  1.421341  0.151745
124  1019.416207  937.454305  21.042482  0.382576  1.759040  0.183727
127  1106.193162  892.803256  20.913999  0.218817  1.701886  0.156891
128  1026.582118  908.599767  21.255748  0.141786  1.383653  0.177298
131  1042.158039  1157.149061  21.243508  0.118633  1.477599  0.182847
137  1014.221251  948.942049  20.860792  0.134715  1.467443  0.126469
138  1062.887588  1087.291310  20.749354  0.152583  1.451990  0.165815
139  966.343844  1110.870979  20.735183  0.170887  1.514293  0.124110
140  863.170703  1094.530683  20.842667  0.109146  1.515245  0.217504
141  1010.101740  1074.482258  20.873165  0.097646  1.334883  0.132757
142  990.558843  942.420787  20.886345  0.186412  1.299725  0.146421
143  1021.361725  1178.847191  20.588502  0.250563  1.648120  0.125566
144  875.677716  1102.662820  20.520373  0.124955  1.395944  0.131315
145  1038.175580  1002.185748  20.345335  0.266490  1.626094  0.132316
146  1214.155919  1032.650629  20.390688  0.131805  1.323148  0.163711
147  1102.650532  1027.863613  20.410947  0.212534  1.367897  0.128408
148  1131.591762  1021.901455  20.230718  0.086567  1.362698  0.137829
149  853.816955  1127.337185  20.089671  0.161026  1.524824  0.096908
150  1052.049736  997.698335  20.298585  0.119004  1.403366  0.104002
151  826.579210  989.027410  20.013733  0.167140  1.181029  0.167560
152  954.067517  1097.754870  20.180975  0.089773  1.029135  0.212343
153  1085.819515  912.481239  20.045034  0.102278  1.228113  0.230999
154  1034.324664  1100.764201  20.058190  0.077738  1.245913  0.119411
155  931.776266  956.738130  20.146222  0.111432  1.600030  0.110512
156  958.257684  1125.538918  19.604876  0.182310  1.447883  0.155592
