# id  x  y  V  eV  BV  eBV
121  928.268411  933.402460  21.302131  0.245242  1.521438  0.163060
127  1106.193162  892.803256  21.275076  0.257969  1.563717  0.167919
128  1026.582118  908.599767  20.802100  0.161657  1.665822  0.139260
130  1036.324332  969.159967  20.905490  0.134308  1.477794  0.140996
132  1223.155692  1072.502108  21.065944  0.193203  1.628057  0.189193
133  1173.350810  961.383731  21.146264  0.277950  1.514121  0.151608
135  969.844224  950.290760  20.848545  0.197677  1.565477  0.229728
137  1014.221251  948.942049  20.754574  0.197572  1.432596  0.123134
138  1062.887588  1087.291310  20.852239  0.111144  1.359494  0.251553
139  966.343844  1110.870979  20.728215  0.135678  1.490512  0.106510
140  863.170703  1094.530683  20.792977  0.251571  0.982654  0.273046
141  1010.101740  1074.482258  20.757085  0.223810  1.312905  0.098304
143  1021.361725  1178.847191  20.696229  0.140202  1.680215  0.199408
144  875.677716  1102.662820  20.728307  0.155851  1.384213  0.122014
145  1038.175580  1002.185748  20.521472  0.099972  1.667045  0.114451
146  1214.155919  1032.650629  20.283244  0.090083  1.507147  0.142155
147  1102.650532  1027.863613  20.512605  0.188966  1.256348  0.139301
148  1131.591762  1021.901455  20.554822  0.148958  1.367347  0.098320
149  853.816955  1127.337185  20.232164  0.088653  1.399189  0.093617
150  1052.049736  997.698335  20.170181  0.170119  1.479683  0.107603
151  826.579210  989.027410  20.115715  0.121825  1.509219  0.244321
152  954.067517  1097.754870  20.243517  0.104149  1.300592  0.121009
153  1085.819515  912.481239  20.307665  0.154381  1.161243  0.164373
154  1034.324664  1100.764201  20.025704  0.094632  1.130750  0.251004
155  931.776266  956.738130  20.170471  0.161617  1.346717  0.083409
156  958.257684  1125.538918  19.990554  0.077995  1.318082  0.178502
157  1046.934036  1068.923740  19.892113  0.091388  1.420456  0.125209
158  1043.290706  1051.287491  19.891036  0.078693  1.290650  0.101143
159  1129.838612  1082.784051  20.093864  0.127418  1.265965  0.130532
160  1061.422592  1136.674284  19.993529  0.204834  1.345184  0.133113
161  1015.676170  1088.582922  19.581687  0.125842  1.138844  0.151409
162  935.090074  920.579400  19.693239  0.141186  1.235531  0.105638
163  1186.044273  924.207206  19.580088  0.105468  1.268256  0.114102
164  1055.346074  825.575035  19.325607  0.097550  1.269899  0.098516
