# id  x  y  V  eV  BV  eBV m_ini
135        999.04   926.69    21.05     0.18     1.45     0.24   0.6141
136       1003.34  1099.41    20.93     0.27     1.12     0.28   0.6172
143        827.00   944.18    20.90     0.16     1.33     0.14   0.6413
148        953.77  1092.90    21.16     0.17     1.41     0.16   0.6600
154       1041.40   889.90    20.86     0.13     1.26     0.15   0.6806
157       1029.10  1044.92    20.50     0.11     1.03     0.27   0.6919
158       1052.73   982.93    20.45     0.14     1.06     0.14   0.6961
160       1028.08  1011.86    20.48     0.10     1.09     0.15   0.7054
161       1065.73   879.14    20.48     0.18     1.00     0.16   0.7100
162       1024.46   977.46    20.43     0.11     1.37     0.13   0.7133
163        968.40  1091.32    20.31     0.15     1.39     0.16   0.7200
164       1132.14  1042.01    20.17     0.12     1.25     0.11   0.7259
165       1086.44   969.76    20.40     0.20     1.32     0.13   0.7276
166        979.78  1102.03    20.25     0.16     1.29     0.09   0.7339
167       1034.29   998.40    20.13     0.17     1.18     0.10   0.7354
168       1148.78   999.33    20.15     0.13     1.27     0.12   0.7445
169       1205.77   909.80    20.14     0.10     1.40     0.14   0.7482
170        985.17  1119.23    20.22     0.16     1.17     0.13   0.7527
171       1019.39   939.79    19.97     0.14     1.31     0.08   0.7555
172        989.19  1113.04    19.97     0.19     1.31     0.10   0.7624
173       1130.47   980.90    20.19     0.12     1.15     0.12   0.7695
174        985.36  1093.31    19.84     0.13     1.52     0.28   0.7734
175       1139.32  1076.79    20.11     0.22     1.21     0.07   0.7777
176        908.75  1002.94    19.61     0.17     1.09     0.19   0.7849
177        982.57  1123.11    19.71     0.17     0.97     0.08   0.7902
178       1138.03   864.85    19.65     0.07     1.10     0.11   0.7939
179       1020.31  1013.01    19.82     0.15     1.15     0.11   0.8006
180       1059.46   950.95    19.48     0.07     0.87     0.12   0.8057
181       1106.98   903.31    19.27     0.08     1.12     0.11   0.8133
182        979.88  1058.63    19.52     0.14     0.74     0.18   0.8156
183        989.85  1072.07    19.50     0.12     0.98     0.11   0.8219
184       1161.60   964.32    19.33     0.11     1.03     0.09   0.8325
185       1050.55   864.87    19.27     0.08     1.02     0.08   0.8356
186       1017.70  1117.40    19.41     0.11     1.09     0.16   0.8396
187       1073.64  1092.53    19.27     0.12     1.27     0.08   0.8479
188       1115.92   862.54    19.20     0.12     1.11     0.11   0.8557
