# id  x  y  V  eV  BV  eBV
122  1035.861197  1104.071311  20.615359  0.299008  2.018314  0.417397
124  922.805268  966.593044  21.374405  0.186696  1.580809  0.234027
130  1013.622804  1132.172083  20.998848  0.269590  1.499503  0.140108
139  894.790164  1003.615908  20.924458  0.178570  1.760949  0.307115
142  903.258153  927.833723  20.399926  0.141006  1.515738  0.132638
143  1031.317852  990.337700  20.797862  0.167143  1.489115  0.172846
144  1073.744507  980.176937  20.656506  0.194639  1.423118  0.186588
147  1125.010985  929.756938  20.284666  0.101740  1.493069  0.152882
149  1128.745656  1042.290995  20.907984  0.357927  1.436339  0.091433
150  1073.518592  1026.740941  20.640063  0.123032  1.507360  0.162402
151  1080.487567  1166.377841  20.150710  0.234226  1.641418  0.190229
152  1106.434888  920.626708  20.368884  0.201719  1.666649  0.236975
153  943.284142  882.099917  20.472502  0.122297  1.552376  0.176676
154  1101.395190  864.280351  20.081174  0.165851  1.595881  0.293674
155  882.945270  910.794670  20.440719  0.090609  1.708394  0.274471
158  992.520950  945.851843  20.355159  0.134126  1.745476  0.272058
159  1041.853112  1005.559460  20.244769  0.151467  1.651731  0.098095
160  965.226639  881.814344  20.287159  0.210279  1.731626  0.188230
161  977.157325  962.860646  20.330215  0.117407  1.413000  0.217323
162  977.144545  1012.470743  20.335577  0.175708  1.442614  0.153947
163  1004.581478  1018.808730  20.499308  0.245343  1.639224  0.120894
164  1135.433011  953.756959  20.301245  0.110034  1.561429  0.160359
166  1115.439309  921.685873  20.499442  0.103210  1.643594  0.140409
167  1094.031032  1182.564618  20.208349  0.153987  1.489543  0.148089
168  999.823462  1028.477399  20.277539  0.116492  1.486653  0.125113
169  1049.250570  851.038679  20.099647  0.104869  1.441660  0.095941
170  1087.997891  1103.037870  20.156646  0.094169  1.838157  0.184883
171  1083.253391  1065.433457  20.182032  0.161339  1.225813  0.114929
172  899.244831  981.281546  19.995184  0.083723  1.551244  0.182181
173  1056.428196  1157.427364  20.143035  0.125354  1.434674  0.139517
174  1050.597417  1134.542029  19.842456  0.237587  1.489134  0.083246
175  1050.889441  1028.864451  20.079975  0.107469  1.683989  0.096434
176  914.254111  1091.053978  19.903391  0.187488  1.651550  0.144116
177  1117.022044  1029.558620  19.683656  0.192405  1.553193  0.088624
178  1110.855782  929.634058  20.012102  0.174895  1.316675  0.124516
179  1002.760929  1132.548792  20.089859  0.195436  1.469862  0.113694
180  1053.761413  1172.819169  19.838207  0.136821  1.427819  0.096889
181  927.358239  957.082030  19.785423  0.221891  1.378328  0.168068
182  1122.498273  1101.275628  19.742670  0.186411  1.654913  0.177874
183  1010.388296  967.719055  19.557801  0.139211  1.495719  0.080967
184  1049.329623  964.302193  19.945745  0.120943  1.610295  0.144878
185  1066.312479  1052.402074  19.973661  0.186866  1.638937  0.160014
186  1040.066908  1027.921756  19.713257  0.088307  1.475375  0.193807
187  1024.356372  932.133581  19.763471  0.072815  1.630599  0.130644
188  1045.478257  872.195748  19.709236  0.124501  1.408496  0.089477
189  1109.620756  1135.181353  19.881956  0.074998  1.339686  0.105148
190  973.222707  1194.124411  19.687677  0.084593  1.390545  0.094825
192  998.645862  1012.375388  19.835936  0.163302  1.507571  0.107459
193  1164.625859  972.771410  19.826930  0.207146  1.405736  0.093221
194  1003.301437  1009.275884  19.859613  0.165919  1.387077  0.116558
195  1041.031782  985.158144  19.636596  0.086679  1.805513  0.156063
196  1089.761587  1019.875840  19.587283  0.139269  1.582127  0.090214
197  1102.762639  1120.169820  19.542699  0.154949  1.390279  0.121810
198  973.053788  983.102054  19.507992  0.090134  1.406605  0.085727
199  1023.807918  1023.730360  19.583837  0.112287  1.357545  0.074808
1100  974.209536  845.427773  19.463687  0.153039  1.378843  0.080507
1101  961.746575  918.001500  19.503824  0.117972  1.391262  0.095697
1102  1034.454917  1076.001137  19.520041  0.117239  1.232152  0.100473
1103  1062.111150  907.790131  19.324711  0.169033  1.457124  0.099786
1104  974.158008  988.150415  19.469960  0.098899  1.528873  0.121747
1105  1032.621117  965.109105  19.418459  0.123846  1.477000  0.104486
1106  873.303798  1067.097272  19.252226  0.103761  1.482792  0.086217
1107  1008.471736  1060.512829  19.321500  0.065689  1.563505  0.187242
1108  1078.947348  1165.715681  19.133322  0.190611  1.454513  0.063087
1109  854.766920  965.245174  19.335699  0.124268  1.685138  0.125009
1110  982.621737  893.051515  19.279077  0.155400  1.424210  0.094265
1111  1092.776571  829.832950  19.244663  0.069895  1.702768  0.169639
1112  956.541727  927.104881  19.357795  0.074685  1.485166  0.150697
1113  1059.968287  1252.080763  19.162658  0.151104  1.376978  0.086839
1114  1047.299420  1108.409385  19.158092  0.077920  1.281360  0.168740
1115  980.248228  1060.878561  19.114653  0.181875  1.309786  0.067754
1116  1090.748088  1014.427935  19.069019  0.146709  1.291987  0.168602
1117  1011.668767  1024.570163  19.112304  0.063216  1.346061  0.109965
1118  957.125550  1024.680980  19.120669  0.138930  1.459050  0.109335
1119  1083.024466  838.122127  19.028731  0.127377  1.212777  0.150015
1120  969.438720  1063.095869  19.033527  0.114519  1.288621  0.149745
1121  990.493204  1031.853998  19.059905  0.089128  1.373684  0.171970
1122  972.109640  963.602821  19.091852  0.090982  1.265835  0.151230
1123  1003.754189  853.884170  19.078938  0.099391  1.474766  0.145326
1124  1108.794737  829.092024  18.915680  0.068657  1.322357  0.105990
1125  1116.727992  1001.279529  18.863856  0.079518  1.421776  0.084060
1126  963.473060  1043.252019  18.870564  0.057224  1.411409  0.111204
1127  1040.740823  1209.281167  18.939245  0.135919  1.448666  0.111590
1128  1014.265897  1105.705677  18.863375  0.092362  1.439847  0.119049
1129  1009.157960  974.948106  18.636504  0.135255  1.423505  0.069988
1130  1125.384602  941.102490  18.637909  0.057573  1.509371  0.108900
1131  1172.813271  913.447301  18.825299  0.072705  1.225023  0.077506
1132  944.096440  999.422444  18.652428  0.089148  1.684541  0.130913
1133  1112.337654  1016.491295  18.771263  0.069725  1.338892  0.075456
1134  1018.946089  1063.094333  18.601957  0.076329  1.442776  0.140151
1135  1201.970504  1035.419156  18.543278  0.061118  1.326090  0.060682
1136  882.998436  1071.521649  18.584443  0.075277  1.330565  0.089663
1137  1050.066842  912.309535  18.611328  0.052100  1.334486  0.054310
1138  1076.535316  1141.038797  18.487023  0.072152  1.263952  0.048877
1139  1022.254367  947.229204  18.497009  0.065117  1.427327  0.096256
1140  946.927309  1194.553795  18.356324  0.070399  1.418484  0.048067
1141  976.820900  986.320548  18.429899  0.115212  1.367065  0.083467
1142  934.411366  953.528730  18.535251  0.058799  1.319929  0.076653
1143  1060.920914  942.800630  18.282687  0.077380  1.209076  0.081985
1144  919.069491  1099.733422  18.460890  0.153297  1.407452  0.091043
1145  920.406057  1119.128678  18.386177  0.089136  1.215503  0.140720
1146  1226.034340  991.641702  18.151438  0.066134  1.375497  0.066806
1147  1048.357540  1023.728968  18.340275  0.081470  1.318527  0.098978
1148  888.115896  1108.824269  18.160477  0.083105  1.361925  0.078969
1149  975.849841  1047.351316  18.121239  0.062149  1.241342  0.067876
1150  1165.267497  977.331814  18.158175  0.043839  1.359955  0.069191
1151  927.520420  1031.546962  18.106336  0.095365  1.260038  0.095059
1152  1077.079757  991.281152  18.266009  0.157465  1.253791  0.076475
1153  992.180081  1106.152059  17.952891  0.066137  1.202745  0.078831
1154  990.724076  974.208246  18.124197  0.074905  1.488828  0.081641
1155  958.561915  997.200814  18.023839  0.115343  1.582586  0.114803
1156  1045.265531  1011.618304  18.049209  0.103572  1.286280  0.063312
1157  903.995167  974.664151  17.926716  0.060567  1.106374  0.081960
1158  933.377188  1137.186734  17.806886  0.041744  1.275851  0.074897
1159  919.616963  1021.674312  17.791416  0.099637  1.393086  0.087036
1160  1012.263813  1074.639544  17.714696  0.044791  1.264522  0.159717
1161  1090.850959  1118.050365  17.817913  0.055628  1.429755  0.083530
1162  1026.169303  942.775747  17.703682  0.069494  1.240538  0.060238
1163  1166.372475  1095.944888  17.483104  0.104787  1.345702  0.122197
1164  1085.590917  942.662676  17.529115  0.077280  1.243073  0.048810
1165  992.342118  1226.071450  17.508049  0.073315  1.093935  0.095317
1166  919.348982  1026.198385  17.337777  0.043311  1.334323  0.078261
1167  1026.837832  843.614618  17.354370  0.088171  1.312122  0.044135
1168  888.797327  963.602944  17.359529  0.057866  1.098124  0.089041
1169  967.366308  1073.321964  17.274061  0.074267  1.253502  0.041067
1170  942.637650  1006.871409  17.239024  0.037146  1.318129  0.044829
1171  921.477960  963.887862  16.971543  0.083882  1.297984  0.070867
1172  1004.768727  910.580265  17.220035  0.063921  1.192863  0.050199
1173  926.626755  1080.935035  17.135750  0.067984  1.262043  0.049861
1174  1126.913618  996.569334  17.069528  0.091626  1.194498  0.083183
1175  919.737528  1050.073887  16.923381  0.070591  1.211111  0.044107
1176  984.671969  962.798981  16.890112  0.036245  1.237301  0.051020
1177  946.130575  949.804503  16.854494  0.055914  1.142624  0.060017
1178  1076.172452  994.361405  16.842501  0.064786  1.194423  0.049879
1179  968.813343  892.787241  16.816495  0.056453  1.312208  0.060977
1180  1069.179453  1037.695672  16.842433  0.032395  1.257210  0.040030
1181  937.215345  921.257615  16.778848  0.075803  1.248086  0.043618
1182  1036.990054  936.589476  16.552506  0.054828  1.238900  0.039898
1183  1029.508383  852.625060  16.564083  0.045250  1.276237  0.033728
1184  908.099359  1059.296809  16.455615  0.037996  1.233387  0.057057
1185  1071.274783  987.389379  16.413783  0.036130  1.191529  0.036099
1186  1044.217324  1048.100987  15.999159  0.085466  1.263001  0.071562
1187  1042.452808  1021.500006  15.986339  0.058720  1.155594  0.080348
1188  1077.733458  1061.105009  16.021464  0.037087  1.138112  0.035837
1189  869.629706  1042.311537  16.021122  0.032282  1.243535  0.081135
1190  961.654682  1029.243556  15.906904  0.038198  1.192895  0.051453
1191  969.904271  872.288399  15.823493  0.027924  1.168115  0.028227
1192  970.923479  1057.157018  15.650809  0.025953  1.068652  0.080905
1193  947.322307  1032.564531  15.317005  0.048124  1.087354  0.043361
1194  1079.515628  940.793590  15.375571  0.032439  1.049762  0.037851
1195  1049.695724  858.546422  15.138402  0.038221  1.077092  0.035837
1196  1079.118377  1187.753923  15.126637  0.071934  1.031322  0.044472
1197  1020.536156  1073.601126  14.951241  0.034586  1.049261  0.051532
1198  837.931356  1103.301939  14.900089  0.039604  1.005758  0.023668
1199  1041.370604  1065.699820  14.627437  0.024639  0.963594  0.022059
1200  1101.877801  910.259773  14.482439  0.045664  0.845649  0.044917
1201  1051.519672  1071.609836  14.324489  0.026348  0.895019  0.028110
1202  1058.161234  978.605138  14.176782  0.042072  0.866952  0.021317
1203  1150.048215  1085.140562  14.066265  0.034497  0.741524  0.034543
1204  1010.376724  952.931267  13.991302  0.025157  0.779069  0.026305
1205  1130.719826  1080.633856  13.669504  0.026759  0.735708  0.051568
1206  1153.187574  1007.678444  13.667363  0.028766  0.773913  0.021057
1207  1126.139126  1094.969242  13.523175  0.036575  0.709816  0.043515
1208  1044.700590  1038.729626  13.271876  0.075534  0.664149  0.031521
1209  999.599636  974.755471  13.166460  0.020355  0.611585  0.026038
1210  1014.842839  1064.286761  13.060752  0.072018  0.597011  0.041820
1211  916.016804  968.751473  12.740409  0.026230  0.571568  0.018378
1212  847.627592  1152.722596  12.514525  0.047970  0.573270  0.043718
1213  1072.606044  1059.984916  12.316019  0.019601  0.459172  0.021835
1214  1175.866716  1026.951066  12.327624  0.019839  0.501371  0.046898
1215  913.006367  923.319255  12.070728  0.021640  0.488765  0.023211
1216  1092.338872  1049.985516  11.988135  0.024383  0.481746  0.036736
1217  1068.075315  979.811922  11.724372  0.019197  0.402409  0.024549
1218  947.391857  1078.981816  11.556624  0.021902  0.400528  0.040110
1219  1042.834657  1003.852308  11.204551  0.019537  0.336750  0.019514
1220  988.972749  1060.805079  10.929791  0.017731  0.272716  0.022413
1221  1179.828408  892.247409  10.828762  0.019367  0.313618  0.017673
1222  1001.900749  1164.798935  10.465340  0.025520  0.280004  0.030616
1223  911.246070  909.517435  10.228475  0.021468  0.303169  0.025439
1224  853.003715  974.439076  9.985822  0.023520  0.284510  0.023038
1225  1093.726372  1019.917660  9.661496  0.023804  0.999461  0.044138
1226  1200.359936  888.609280  9.215672  0.045841  1.014849  0.023051
20  279.481874  1111.716501  6.880866  0.051956  -0.153213  0.016034
21  56.555798  1113.067391  7.244436  0.023768  -0.088834  0.015728
22  195.593772  1509.953530  7.839929  0.032668  -0.117524  0.022270
23  714.680943  8.198946  8.704011  0.050388  0.140466  0.034114
24  1535.068393  560.764194  8.241341  0.016416  -0.146618  0.022873
25  1394.637737  1225.451612  8.647828  0.028666  0.125265  0.016509
26  832.916162  103.297520  10.252132  0.031679  0.633979  0.034745
27  585.058765  492.062737  9.034331  0.018457  -0.061995  0.025466
28  878.907629  1004.454327  14.429121  0.026368  2.960703  0.028123
29  667.438303  1097.072433  9.694775  0.019290  0.245887  0.017765
210  1418.536596  374.967705  9.026204  0.021086  -0.214355  0.026601
211  1327.528946  1605.685223  11.240846  0.031934  0.941485  0.027985
212  610.962373  96.565551  12.378654  0.029085  1.281167  0.032009
213  1638.690879  883.825403  10.727638  0.045945  0.223726  0.017502
214  1477.669847  463.795796  10.817400  0.024775  0.073240  0.038234
215  602.147166  1808.547675  11.237277  0.049943  0.390540  0.016983
216  621.058409  1306.295074  16.528057  0.052548  3.228318  0.065642
217  681.028689  1177.740649  11.172307  0.035395  0.268098  0.032528
218  1107.930717  1102.782253  13.071857  0.023285  0.881512  0.026250
219  410.558980  681.469705  12.305708  0.024149  0.577813  0.019823
220  224.446383  1843.453593  15.209687  0.040313  2.232943  0.038915
221  952.764623  1239.237573  13.018876  0.038306  1.062812  0.032482
222  974.198860  1230.346041  12.461088  0.037989  0.333043  0.028424
223  1132.328006  1018.312644  11.857377  0.023216  -0.029651  0.049917
224  208.554852  1135.111292  14.272912  0.076211  1.159664  0.037776
225  1320.418233  881.321945  12.540247  0.024151  0.348393  0.033701
226  1580.453373  124.850316  13.021832  0.043292  0.417880  0.020016
227  1652.676353  1347.367151  11.962503  0.026283  0.232681  0.025969
228  338.090337  1593.018783  14.120022  0.049336  1.268198  0.058126
229  267.312315  538.211300  13.024693  0.025701  0.722053  0.031387
230  699.482615  1264.549366  15.710843  0.076706  1.782437  0.050760
231  1935.978216  469.850857  13.245708  0.025799  0.591326  0.029532
232  334.896100  1415.708825  14.846257  0.035840  1.306042  0.027752
233  1076.952486  868.533650  12.896115  0.020091  0.342775  0.042473
234  1670.740072  1377.694879  13.052673  0.035638  0.523906  0.021594
235  175.295290  410.935926  15.425236  0.059261  1.712820  0.036419
236  377.102250  590.434128  12.365462  0.048428  -0.050821  0.023971
237  1926.527611  1427.345881  15.218007  0.049884  1.454156  0.031273
238  214.143044  477.661338  18.226361  0.051157  2.942715  0.084743
