# id  x  y  V  eV  BV  eBV
12  980.309565  983.722783  20.671147  0.345591  1.859146  0.218746
14  1034.267771  890.653061  20.888920  0.153123  1.823301  0.201649
16  948.409385  964.557844  20.540291  0.287100  1.616917  0.188812
17  1047.824343  1081.158390  20.655024  0.203647  1.595729  0.151074
110  1017.012695  1209.443779  21.068799  0.239418  2.312651  0.355203
117  1074.463232  1018.100306  20.718380  0.115813  1.446857  0.205604
122  964.636344  1019.189862  20.675412  0.224937  1.388075  0.311864
126  1076.007895  1161.203589  20.469751  0.271448  1.481021  0.141023
127  825.000571  1000.812564  20.812151  0.174029  1.811984  0.267828
128  1034.380288  1138.716467  20.581515  0.170350  1.490669  0.142610
132  985.387889  931.458089  20.656703  0.145208  1.663860  0.228617
135  1226.731643  1137.963622  20.584251  0.184315  2.017473  0.201160
136  985.690604  1008.206828  20.489140  0.104667  1.472008  0.102499
137  963.292877  1006.074860  20.422809  0.180331  1.578385  0.109951
138  964.615188  1204.050207  20.347679  0.178833  1.642682  0.092283
139  1033.674670  1012.985303  20.197893  0.171290  1.836031  0.358978
140  1074.678804  926.587064  20.252825  0.094618  1.486347  0.117269
141  906.848727  1036.166472  19.972088  0.186082  1.367032  0.205045
142  990.688276  1007.608955  20.305796  0.107118  1.547544  0.081614
143  1078.696079  1200.648643  20.141689  0.077419  1.513001  0.308429
144  986.028134  1070.401393  20.130820  0.262832  1.667147  0.153981
145  1178.700022  1079.563571  19.695806  0.209711  1.559535  0.107437
146  967.863972  1063.021404  19.603545  0.196673  1.633687  0.108434
147  1072.012268  1004.171858  20.248707  0.126327  1.585738  0.087618
148  1136.896020  942.853407  19.963987  0.093991  1.491856  0.163672
149  982.104596  996.723814  19.801772  0.188772  1.513705  0.116716
150  1077.232067  1139.711488  19.996256  0.084109  1.621004  0.116507
151  1109.243351  965.445059  19.834869  0.260110  1.355582  0.076930
152  1025.416827  1029.469553  20.039512  0.086586  1.705838  0.192136
153  1164.662333  1109.470024  20.083404  0.144854  1.411278  0.084774
154  1032.353915  1113.329336  19.796590  0.094710  1.705086  0.135297
155  1089.075098  980.693770  19.892422  0.171252  1.470980  0.121879
156  1125.267169  1066.788557  19.852655  0.123738  1.577702  0.083302
157  1017.599427  1028.117955  20.072383  0.224920  1.494681  0.126449
158  872.796918  1066.077266  20.089108  0.188966  1.666172  0.146752
159  1017.434644  1023.519703  19.814668  0.121649  1.512052  0.230923
160  1055.939686  989.619917  19.857637  0.237592  1.656058  0.197006
161  1007.681884  982.764626  19.811770  0.140384  1.463320  0.101455
162  1032.837530  1091.558175  19.928211  0.100384  1.536008  0.115577
163  1065.120051  1131.980431  19.554430  0.143428  1.418771  0.080150
164  960.737935  1080.572826  19.537947  0.198257  1.539990  0.219960
165  1030.751416  966.459638  19.630153  0.139487  1.484211  0.138899
166  1104.149914  1179.083919  19.647305  0.114566  1.520703  0.116583
167  965.319291  1119.444644  19.466167  0.152774  1.681591  0.149632
168  935.602135  904.492605  19.813496  0.139730  1.476386  0.079012
169  989.856645  981.848105  19.699233  0.161177  1.636524  0.147150
170  912.983429  873.206333  19.674424  0.094596  1.395834  0.072138
171  1024.624620  1102.281646  19.434630  0.114637  1.425319  0.069485
172  1150.402499  985.675735  19.643407  0.093956  1.405956  0.142328
173  894.877962  996.754903  19.567288  0.111866  1.500423  0.100158
174  1093.030543  1033.375130  19.450784  0.068692  1.733775  0.212901
175  1007.583048  1002.690171  19.441047  0.136732  1.336557  0.101332
176  946.279506  1044.804649  19.348319  0.101684  1.313401  0.102929
177  1066.310124  1087.983268  19.416352  0.068342  1.472924  0.085895
178  902.534595  1124.354294  19.517155  0.067617  1.416561  0.062739
179  1074.407793  1022.456074  19.386565  0.097445  1.564559  0.138197
180  888.050360  1062.999695  19.471053  0.090967  1.397501  0.110102
181  976.902881  1168.812708  19.159855  0.147803  1.437697  0.096266
182  1118.354985  1186.587136  19.171464  0.135051  1.288643  0.148617
183  1007.238246  910.124769  19.352124  0.072203  1.554640  0.124404
184  1022.081044  1050.847334  19.492222  0.115280  1.478782  0.064898
185  982.789796  948.142100  19.364220  0.099883  1.344543  0.081977
186  1115.071898  1003.542036  19.495495  0.076652  1.293985  0.135815
187  1081.688105  892.834632  19.246009  0.135665  1.228380  0.200186
188  1005.655491  949.182505  19.180139  0.087806  1.279039  0.088315
189  1221.947515  1069.922345  19.256115  0.176547  1.554528  0.161908
190  822.041170  1107.349238  19.232118  0.187139  1.447829  0.133089
191  1120.342159  1039.742935  19.245920  0.150189  1.507542  0.076227
192  1010.755686  988.001137  19.196365  0.093443  1.261041  0.087136
193  893.870305  1142.990356  19.082321  0.172259  1.487065  0.101537
194  1060.916961  1070.670868  19.224092  0.148912  1.252259  0.156011
195  1173.722972  962.706412  19.157109  0.064270  1.251542  0.095149
196  905.108787  992.148951  18.961319  0.098275  1.179867  0.178902
197  1008.456253  983.104143  19.116684  0.062709  1.333121  0.090621
198  981.372908  972.757668  19.080120  0.084117  1.057362  0.177203
199  1017.965445  830.633062  18.971660  0.159173  1.362676  0.115920
1100  1041.109033  1126.062694  19.005438  0.112407  1.271585  0.096908
1101  998.844928  964.162540  18.935748  0.086978  1.463447  0.056236
1102  997.974221  991.468032  19.096890  0.124828  1.520765  0.081471
1103  1068.446290  969.508332  18.834076  0.061464  1.330676  0.095964
1104  1112.022405  991.084749  18.889896  0.091551  1.356828  0.094979
1105  1102.457610  1076.969308  18.815627  0.187835  1.431015  0.078544
1106  1047.351747  1012.303749  18.821722  0.086684  1.367819  0.061374
1107  921.598505  1051.113370  18.708367  0.108712  1.556455  0.164618
1108  1067.215688  1113.733100  18.957003  0.191920  1.377970  0.064603
1109  1083.027415  1054.268887  18.910607  0.123988  1.252016  0.135954
1110  994.350223  1179.873710  18.807465  0.110437  1.469450  0.106188
1111  899.878523  1150.296678  18.811071  0.053287  1.249462  0.092883
1112  832.293253  980.764037  18.748478  0.088989  1.236781  0.122986
1113  1008.724050  919.997972  18.815127  0.097002  1.369528  0.056791
1114  920.864317  870.272512  18.689036  0.054071  1.365295  0.069713
1115  1006.201242  976.466452  18.620846  0.069200  1.323265  0.159947
1116  1027.460710  1159.813263  18.720425  0.093469  1.520317  0.080121
1117  1152.073851  1120.719319  18.582452  0.200063  1.395817  0.061396
1118  1044.325868  961.426719  18.618901  0.106345  1.330055  0.066836
1119  989.356749  1155.839570  18.634252  0.072103  1.246166  0.090574
1120  1069.564457  1017.743462  18.592807  0.060659  1.321959  0.058036
1121  963.052790  1008.721633  18.656897  0.086080  1.235694  0.107939
1122  1012.526346  1038.174802  18.539626  0.086202  1.275585  0.098356
1123  981.325210  1015.605432  18.703390  0.102318  1.324312  0.072813
1124  1067.774525  1018.855465  18.327017  0.116408  1.443189  0.052896
1125  1029.886669  984.554045  18.462264  0.109585  1.339136  0.085171
1126  1001.854075  873.399767  18.369198  0.058800  1.395557  0.053035
1127  1141.071524  1157.723320  18.364196  0.103710  1.338720  0.048624
1128  1017.667174  896.671457  18.342488  0.118783  1.366851  0.046078
1129  1161.737810  987.234447  18.264573  0.110643  1.376212  0.046289
1130  1053.363692  1046.424535  18.432000  0.078999  1.433222  0.089118
1131  1030.982369  1030.580265  18.190992  0.098454  1.328224  0.085894
1132  1061.188076  1057.536717  18.266106  0.096465  1.348064  0.062152
1133  1030.561546  1104.876585  18.157067  0.089880  1.225297  0.097923
1134  1098.006548  976.603197  18.268192  0.050944  1.340464  0.045707
1135  974.482125  1043.605770  18.292904  0.130104  1.295664  0.084112
1136  980.012360  1150.262743  17.921733  0.095502  1.339578  0.043195
1137  1056.220262  1169.124741  18.074747  0.049127  1.325378  0.109186
1138  901.458350  1022.218138  18.152272  0.087029  1.442758  0.074309
1139  982.940488  989.840343  18.004673  0.061813  1.344449  0.048046
1140  1088.069284  1002.130514  17.930238  0.061165  1.207015  0.049886
1141  1102.006866  952.180572  17.943748  0.119605  1.371972  0.056274
1142  933.212385  1145.218478  17.910343  0.096405  1.348285  0.091477
1143  967.496131  1109.042749  17.751918  0.073564  1.298316  0.151889
1144  976.481874  923.240878  17.831474  0.051655  1.312157  0.052341
1145  1042.244403  1102.682685  17.808076  0.048600  1.312251  0.070278
1146  1133.225820  990.929080  17.812002  0.076267  1.252203  0.045844
1147  1043.288658  1065.882747  17.943418  0.049201  1.213550  0.071235
1148  1079.485747  966.057882  17.785127  0.053363  1.355062  0.047846
1149  849.832796  1108.903178  17.730030  0.081201  1.361603  0.102931
1150  1059.870372  900.511437  17.675909  0.057996  1.216184  0.054290
1151  1008.730235  1066.461471  17.687568  0.087143  1.326456  0.057985
1152  874.952581  1086.081597  17.734967  0.050029  1.264418  0.038742
1153  1087.508050  1152.928051  17.677735  0.046346  1.366622  0.061822
1154  1161.769083  977.232978  17.509381  0.062437  1.385700  0.064717
1155  1040.387502  1133.881098  17.443314  0.101117  1.288083  0.084388
1156  993.668977  1007.540347  17.426880  0.049512  1.231272  0.071174
1157  1049.856082  1017.513349  17.234901  0.060084  1.208475  0.036991
1158  994.113413  1128.616223  17.366557  0.072618  1.370097  0.083698
1159  957.595730  1011.130225  17.385530  0.045003  1.195738  0.069509
1160  910.015529  985.965179  17.281061  0.070672  1.239399  0.038797
1161  1061.298196  1046.862623  17.290169  0.043913  1.140194  0.070646
1162  880.133919  1003.874714  17.255341  0.062118  1.218474  0.061202
1163  1184.625889  1106.192282  17.183698  0.043776  1.218313  0.052531
1164  1057.637417  929.491476  17.166110  0.055731  1.072869  0.114212
1165  1103.605453  1101.094093  17.075440  0.046619  1.226976  0.045247
1166  920.078725  990.512865  16.963653  0.037230  1.082326  0.082351
1167  956.174193  999.588311  16.888403  0.081951  1.274613  0.060278
1168  1032.861225  965.290250  16.970344  0.075630  1.187484  0.088064
1169  1057.314120  986.125926  16.867162  0.077695  1.174063  0.049814
1170  1006.119895  924.749394  16.772173  0.051429  1.252844  0.053471
