# id  x  y  V  eV  BV  eBV
11  1135.264174  849.868841  20.850291  0.141205  1.512475  0.158501
12  952.302387  1021.709025  20.596864  0.109742  1.569764  0.178211
13  1188.470784  1037.448561  19.779934  0.075823  1.474236  0.091912
14  943.597691  1165.273416  18.604630  0.071791  1.180317  0.063542
15  1023.908270  1039.050670  17.529392  0.111992  1.957013  0.049413
16  1108.827156  939.265659  18.722452  0.111858  1.270101  0.133107
20  1852.292438  1598.500292  8.984782  0.017583  0.742189  0.038735
21  1300.474882  199.503669  11.414982  0.031170  1.992334  0.022749
22  1226.104024  1095.192999  10.341149  0.018393  1.007979  0.027024
23  1022.444433  659.394110  15.253799  0.033993  3.393988  0.033734
24  1935.606819  595.678485  13.173018  0.028338  2.230234  0.042167
25  1128.132555  231.745954  14.943964  0.022802  3.357058  0.068460
26  1225.970033  413.795048  13.036345  0.036923  1.910012  0.018879
27  1132.498480  1787.954567  13.628728  0.030407  2.199512  0.030185
28  2034.296788  424.665251  11.619374  0.037489  0.907638  0.051773
29  226.910402  983.853437  13.163894  0.034122  2.124416  0.019211
210  486.914862  1027.880569  11.126137  0.023348  0.752156  0.022027
211  1251.966754  601.808659  11.287136  0.027538  0.579511  0.019755
212  1997.583435  1954.650954  12.675612  0.021084  1.341274  0.027189
213  1883.880604  903.749659  11.315427  0.020272  0.385753  0.034154
214  1025.540351  504.228536  14.213220  0.048209  1.798733  0.040624
215  1443.241219  1162.318200  11.820266  0.029664  0.314684  0.020921
216  495.754424  224.489491  13.751896  0.042380  1.444522  0.037037
217  983.473905  1049.827313  12.852156  0.041621  0.908578  0.029567
218  918.564635  893.097280  16.843867  0.050413  2.899433  0.049442
219  305.767700  1665.056566  15.106421  0.035891  1.993815  0.023592
220  594.963001  352.296611  19.040109  0.141024  4.738995  0.146372
221  1042.281909  1443.599316  12.941579  0.038764  0.663755  0.021518
222  1495.902537  1891.282015  13.911251  0.084921  1.171293  0.043348
223  474.548742  124.184117  14.361821  0.024955  1.313705  0.027533
224  1063.669169  1953.885719  12.660930  0.027934  0.385096  0.028503
225  770.448314  869.702472  17.281522  0.076430  2.998924  0.060203
226  969.523262  1350.635112  16.513793  0.030505  2.624404  0.045472
227  306.165059  656.761474  12.479449  0.026816  0.117173  0.025582
228  497.723351  348.455427  13.538831  0.023725  0.661701  0.028458
229  620.066024  1190.301868  13.467993  0.040652  0.602077  0.025556
230  655.646142  1430.613215  13.758774  0.023001  0.569786  0.028233
231  1868.233232  477.662979  13.772082  0.027188  0.980163  0.025059
232  2029.744336  334.689945  14.009806  0.045274  0.739612  0.030586
233  1355.317259  1188.215816  13.641725  0.032922  0.668797  0.053612
234  915.322068  368.233885  16.277362  0.044098  2.131568  0.032567
235  476.212473  384.079468  16.333498  0.113769  2.221731  0.031142
236  732.384166  111.978293  19.632916  0.127225  3.895977  0.135697
237  1037.050542  1356.885092  15.576935  0.045076  1.632736  0.037812
238  1034.655658  420.622787  16.284890  0.071556  1.725146  0.039268
239  213.083877  1564.783103  13.983857  0.031986  0.407858  0.027327
240  807.853500  264.261058  15.641465  0.031425  1.517023  0.029629
241  1466.771190  317.361421  14.872527  0.029410  0.955940  0.031229
242  1151.354328  1975.739264  15.107391  0.042582  1.299564  0.055856
243  1087.806335  1770.969510  14.291269  0.028646  0.562999  0.041967
244  942.356193  1548.553078  14.413994  0.022595  0.755518  0.048388
245  1075.219346  1903.842256  15.318366  0.026506  1.307986  0.028122
246  49.394967  1574.012874  14.713950  0.031142  1.343739  0.023850
247  2027.174088  2027.594932  14.609392  0.055993  0.816704  0.035192
248  1189.883410  841.005313  14.116722  0.038542  0.670820  0.044896
249  172.854446  1346.616147  13.275291  0.034704  0.114140  0.045833
250  1625.859824  769.901760  13.926880  0.032829  0.403864  0.032178
251  1879.795737  458.424672  14.632747  0.039875  0.751584  0.028408
252  1263.606100  1957.606115  16.771417  0.092658  1.862344  0.044375
253  218.211102  1486.497163  14.897782  0.051635  1.445685  0.045177
254  398.717825  130.328851  14.964683  0.071091  0.766359  0.035570
255  995.362554  1913.772864  19.708954  0.122569  3.096043  0.125821
256  83.659825  2025.385199  16.370031  0.039305  1.732078  0.043910
257  1454.673927  1186.417640  16.876474  0.062237  1.899905  0.040739
258  481.713111  1488.422133  17.688262  0.051451  2.377878  0.047178
259  1580.869827  1539.909224  14.779104  0.035937  1.266956  0.022941
260  630.295718  1318.367173  15.041717  0.028676  0.857469  0.073036
261  1561.485297  1938.535732  14.902110  0.034303  0.798880  0.055744
262  328.674203  1435.090623  16.476258  0.042228  1.782907  0.054159
263  1882.867180  1991.107307  19.442769  0.083871  3.214251  0.072831
264  1949.893269  1620.931181  17.302372  0.065812  2.214652  0.073010
265  635.101061  1682.167622  14.624511  0.063502  0.539358  0.029114
266  924.663545  18.347631  15.643323  0.035415  1.033662  0.041052
267  123.659437  1100.454723  15.379881  0.060915  0.937184  0.027890
268  1442.775209  629.712691  15.793450  0.043411  1.280992  0.038513
269  1524.518564  1057.149314  17.683956  0.063175  2.309685  0.044863
270  112.738290  1885.258257  17.715999  0.115077  2.268774  0.065930
271  1357.177691  793.208566  19.806173  0.196516  3.399605  0.127830
272  78.166413  1879.131466  19.333758  0.155143  2.955853  0.107334
273  97.017019  431.674073  15.782610  0.047900  0.919452  0.043684
274  355.112835  964.027514  15.406061  0.065401  0.933638  0.046885
275  83.153944  46.431559  20.456026  0.111869  3.964184  0.174583
276  938.281339  1983.224677  15.740333  0.041494  0.796608  0.031112
277  1742.635582  1108.526784  13.566559  0.071759  -0.201415  0.045299
278  1636.734043  317.713867  15.507832  0.035363  0.783885  0.029116
279  151.570654  600.686972  14.918435  0.030087  0.416783  0.041903
280  1903.623002  697.644883  14.944370  0.056236  0.614036  0.045461
281  1165.897539  606.912370  15.910198  0.031883  0.949483  0.042801
282  1445.662845  869.154638  15.532011  0.025518  1.342112  0.041759
283  1876.738708  517.151139  15.600103  0.028000  0.792504  0.042322
284  1048.066577  691.173280  15.051526  0.024484  0.343279  0.045272
285  123.705061  1332.518223  14.200702  0.025776  0.164392  0.030159
286  1256.332919  1071.061164  17.709757  0.063104  2.079254  0.103323
287  1969.953886  1698.095096  13.902939  0.049421  0.047050  0.020795
288  247.230494  1067.960584  17.305417  0.065581  1.823034  0.078182
289  1238.632668  1354.501347  21.311755  0.208433  4.339351  0.251511
290  1519.978892  1747.199168  15.829429  0.034328  1.253391  0.038100
291  1344.703610  615.257524  16.122573  0.065988  1.057214  0.063023
292  951.741471  741.176841  15.719008  0.072817  0.959725  0.032509
293  700.121884  436.125903  18.898652  0.127620  2.723869  0.094249
295  1062.757043  1709.517417  18.409289  0.117898  2.216314  0.063815
296  795.629709  1566.464625  14.076015  0.025052  0.069168  0.057229
297  54.163565  1144.479181  14.008814  0.033099  0.039757  0.045822
298  1291.020296  55.277036  15.208571  0.030745  0.638836  0.054191
299  1981.058743  1905.578688  16.429673  0.046838  1.328159  0.069975
2100  1497.615567  875.494637  18.871807  0.086496  2.492278  0.124835
2101  1541.789570  573.134547  16.001467  0.057672  0.892267  0.030350
2102  1417.300040  323.269152  15.498981  0.052071  0.479367  0.057181
2103  457.808575  634.465113  16.208590  0.085701  1.336168  0.050320
2104  212.943546  1165.968031  16.804956  0.045196  1.274107  0.063574
2105  1491.842552  709.026135  17.235109  0.051051  1.554540  0.073792
2106  1057.102872  1745.261025  18.349971  0.055692  2.307362  0.136172
2107  224.150277  87.467875  18.539305  0.106891  2.184931  0.077415
2108  2024.816886  1769.836229  17.835088  0.105548  2.121381  0.072988
2109  1278.748612  1393.024487  17.182577  0.109312  1.740879  0.054077
2110  1267.450156  1490.141446  21.315152  0.186167  3.987150  0.258244
2111  920.963448  192.736165  17.426847  0.042108  1.646586  0.045300
2112  1490.270891  1360.912316  15.540874  0.032946  0.695407  0.071231
2113  1174.215430  983.471766  16.637416  0.032908  1.336149  0.036763
2114  474.887451  1448.493179  15.821666  0.053426  0.911890  0.036585
2115  1913.758288  1916.322414  15.822110  0.035658  0.671382  0.045581
2116  941.004251  1401.317176  15.809128  0.059420  0.623397  0.055048
2117  1564.060306  1668.653951  16.329676  0.057904  1.597580  0.061983
2118  1356.983268  1278.511458  15.914175  0.038833  0.987281  0.084592
2119  1498.242753  1672.606610  16.407949  0.058182  1.105262  0.031460
2120  856.827113  918.615769  19.657661  0.106963  2.741580  0.109122
2121  1650.095670  898.956245  15.461217  0.052984  0.506587  0.037949
2122  2027.251636  1739.620478  15.998398  0.055240  0.793136  0.062780
2123  1657.283928  554.254859  16.128161  0.061249  0.870769  0.065288
2124  996.907386  671.873955  19.011683  0.113012  2.588028  0.103087
2125  1926.542896  910.708949  15.415804  0.029975  0.401239  0.053577
