# id  x  y  V  eV  BV  eBV
12  930.776760  1024.876257  21.556051  0.227347  1.426803  0.214583
16  1043.831439  1022.482104  21.502724  0.142217  1.204615  0.309941
17  958.854799  1133.997036  21.265624  0.213930  1.642363  0.191764
18  967.242732  1052.144087  20.861375  0.294882  1.316015  0.202718
19  1036.623626  1071.009321  21.087302  0.204585  1.250016  0.129403
112  1118.571745  1055.702917  20.516819  0.102933  1.162749  0.138959
113  1095.185265  898.026045  20.766532  0.194582  1.063929  0.247804
115  1050.999665  958.976102  20.458934  0.091791  1.181147  0.102099
116  974.242324  1077.375652  20.184933  0.145579  1.268314  0.233601
117  999.752151  1069.472829  20.204961  0.134149  1.042753  0.106871
118  983.140024  1084.618834  19.835258  0.109253  1.136211  0.210848
119  970.038231  996.368056  19.548310  0.169196  1.040636  0.145533
120  1221.021348  1089.507348  19.220634  0.178030  0.873227  0.100058
121  1129.101742  1113.664328  19.236799  0.101852  1.037633  0.089260
122  974.428426  1002.273751  19.094531  0.150733  0.860561  0.079875
123  1149.079511  1058.133565  18.995593  0.230678  0.935549  0.082270
124  1113.970975  953.445192  18.715505  0.090559  0.764920  0.106262
125  1066.193756  999.924347  18.275995  0.076435  0.856222  0.127962
126  1097.769779  1102.443909  18.027074  0.057713  0.816306  0.064009
127  1066.502164  970.678415  18.000362  0.093181  0.667593  0.077116
128  867.442401  1140.450611  17.512244  0.094718  0.665418  0.127538
129  884.853719  1086.028431  17.301628  0.057594  0.591563  0.054099
130  869.327094  992.632566  17.158225  0.080487  0.554186  0.045492
131  1028.308255  982.844600  16.800119  0.052340  0.527741  0.075271
132  1133.432463  1048.205844  16.498929  0.032754  0.519843  0.054979
133  1071.041188  1173.235139  16.012651  0.037308  0.444395  0.067218
134  1038.552883  1192.886231  15.617553  0.031439  0.357807  0.061964
135  1063.132201  934.947328  15.484683  0.046905  0.368001  0.025568
136  1117.238927  1163.525755  14.659118  0.071875  0.286351  0.025940
137  1134.581187  1117.118607  13.662362  0.048889  0.933374  0.032347
20  683.868595  37.892109  9.275415  0.023073  1.254298  0.025545
21  1251.758662  731.483336  9.449404  0.028574  1.081584  0.024887
22  411.927018  1330.795500  8.722955  0.019956  0.354840  0.019362
23  1318.544353  1550.281232  8.841259  0.015703  0.035352  0.019097
24  1560.772182  1293.503558  8.689228  0.027469  0.019838  0.027562
25  697.847160  160.255072  8.542245  0.033701  0.074490  0.017770
26  1739.288342  1135.628985  9.388324  0.020072  0.263710  0.018518
27  668.022071  1546.859670  8.863620  0.026188  -0.112606  0.025548
28  103.353900  42.040554  8.542001  0.024068  -0.139724  0.017575
29  619.886168  123.988310  12.079916  0.018854  1.757273  0.028601
