# id  x  y  V  eV  BV  eBV
11  978.971607  1032.082903  21.758072  0.239223  1.930232  0.228169
13  1022.644777  1112.338432  21.764937  0.320165  1.245404  0.213640
15  838.387528  1073.640591  21.448062  0.130981  1.236565  0.278824
16  1117.858570  1014.103839  21.618264  0.239563  1.532402  0.269385
18  1143.855145  973.833871  21.367358  0.236789  1.612105  0.217667
19  955.726397  974.885540  21.446510  0.123899  1.205974  0.222002
110  1036.977213  1101.279826  21.048215  0.301506  1.345792  0.180857
112  1020.781609  1026.401096  21.086098  0.215160  1.093769  0.275632
113  964.628460  1043.217306  20.769969  0.194873  1.503850  0.131886
114  919.824835  983.415685  20.944232  0.127162  1.542028  0.263006
115  904.988611  1210.296852  20.533063  0.269541  1.482859  0.143074
116  1016.378860  987.459215  20.570277  0.105769  1.304678  0.192708
117  1171.039805  1069.845524  20.317392  0.146616  1.258080  0.099736
118  1117.272207  905.691914  20.466710  0.182264  1.326267  0.132620
119  952.063058  862.574019  20.265689  0.179886  1.278890  0.229691
120  881.092178  1103.078851  20.314976  0.141084  1.136408  0.189491
121  1024.485642  1059.760435  19.766131  0.191145  1.008806  0.122375
122  1199.893832  1101.294612  19.842220  0.128974  1.215541  0.087736
123  1087.161876  997.474693  20.007138  0.171245  1.408700  0.155317
124  960.494162  1084.223283  19.447553  0.132729  1.119943  0.087496
125  1080.205865  1039.018639  19.514994  0.096678  1.072841  0.107372
126  1059.152179  1065.429094  19.376072  0.100694  1.218681  0.131024
127  983.483249  1084.088340  19.127483  0.072310  1.024417  0.067536
128  996.051907  1089.620132  18.909591  0.135210  0.995006  0.065847
129  963.128852  961.120133  18.893466  0.126741  0.997093  0.059943
130  1008.007434  1064.825917  18.772296  0.121519  1.007797  0.062076
131  952.040489  1033.454531  18.759563  0.132160  1.093779  0.089848
132  931.648655  839.489843  18.476138  0.137642  0.940259  0.050850
133  1116.591165  1007.074427  18.528389  0.108974  0.811843  0.129262
134  948.820337  1244.139438  18.595797  0.117323  0.888296  0.050823
135  993.253356  1148.464087  18.171657  0.069446  0.987485  0.086541
136  979.938550  1043.512750  18.128758  0.084650  0.941127  0.044814
137  1048.442778  1110.462464  18.028025  0.049736  0.864525  0.042961
