# id  x  y  V  eV  BV  eBV
10  1034.954383  1079.966249  21.498989  0.181673  1.276535  0.173309
17  829.655224  1017.065841  21.112090  0.169588  1.470789  0.187313
112  1052.060180  920.096195  21.070419  0.220053  1.521646  0.230286
115  1078.718075  997.067203  21.464235  0.173049  1.394921  0.256086
118  976.073789  1099.783803  21.058642  0.198697  1.592035  0.187769
121  873.314673  1093.355581  20.604514  0.263309  1.392669  0.096223
122  948.316140  919.456031  20.571594  0.191875  1.444059  0.155054
123  933.496279  974.817280  20.555539  0.120790  1.537972  0.095456
124  1097.416090  1019.228672  20.614303  0.113572  1.623538  0.136833
125  1010.771128  971.414016  20.679999  0.228016  1.712413  0.092748
126  1082.954916  1127.464264  20.330188  0.133512  1.516935  0.309431
127  1127.206687  892.664074  20.443077  0.091682  1.533765  0.244148
128  1042.096538  903.007416  20.330174  0.215199  1.559863  0.103377
129  1050.256671  816.792965  20.267715  0.187583  1.554917  0.093457
130  943.491400  994.416128  20.596394  0.181166  1.515733  0.222980
131  968.565821  1093.632307  20.547266  0.204581  1.741056  0.279898
132  1017.881416  974.152520  20.202383  0.171268  1.521876  0.107337
133  1025.909268  810.310779  20.200228  0.109785  1.402064  0.082869
134  1005.334487  1093.108736  20.250996  0.167264  1.485811  0.111642
135  889.203732  995.642982  20.230232  0.098100  1.631382  0.160941
136  928.850842  1026.470564  20.061106  0.177599  1.597346  0.140439
137  991.315374  984.948142  20.161348  0.106534  1.130847  0.222497
138  953.574892  955.508879  19.960243  0.112081  1.536844  0.081165
139  1122.718925  1098.919096  19.968359  0.149681  1.500403  0.080803
140  1023.859958  1062.593679  19.948530  0.116295  1.223614  0.133656
141  1012.081992  1003.707126  19.857612  0.093405  1.581106  0.201421
142  1004.105789  986.558464  19.983462  0.076897  1.401131  0.133809
143  1052.820767  1065.102275  19.823378  0.083156  1.655978  0.094062
144  1082.833900  903.003238  19.828766  0.131362  1.872710  0.198748
145  932.653281  864.512553  19.739221  0.095401  1.533985  0.147974
146  1127.566479  965.115167  19.493980  0.238815  1.404955  0.121909
147  825.898250  1004.924047  19.686027  0.123559  1.509918  0.101516
148  915.964682  994.899599  19.541752  0.086308  1.436473  0.093495
149  1104.934441  972.200796  19.664136  0.165141  1.498731  0.096008
150  1081.325937  1019.436237  19.315405  0.095710  1.431947  0.071359
151  1090.782495  1128.627098  19.783069  0.235513  1.356929  0.088092
152  1038.917857  1030.534963  19.508044  0.067805  1.362417  0.081457
153  1028.382228  1203.288351  19.449653  0.071573  1.470110  0.140485
154  1012.135178  1107.881820  19.645120  0.124753  1.625117  0.110107
155  1146.106204  1013.405983  19.351150  0.171634  1.512811  0.133937
156  969.224192  908.297769  19.346151  0.077287  1.608176  0.136713
157  1012.797604  874.380616  19.222153  0.063975  1.557503  0.154249
158  1003.581747  1031.652905  19.104000  0.115671  1.477219  0.059806
159  1106.380513  951.071068  19.104874  0.064862  1.418903  0.073368
160  1106.818683  943.237714  19.190089  0.089018  1.544063  0.125236
161  1155.428475  978.491474  19.253308  0.113192  1.417446  0.086804
162  1061.607567  996.837765  19.149250  0.060229  1.391603  0.198905
163  1039.781110  1198.543688  18.965054  0.128141  1.464879  0.089521
164  1024.911135  961.159905  18.831538  0.098822  1.302411  0.083419
165  1104.515871  1066.087813  18.878202  0.111905  1.328005  0.076339
166  959.250063  1038.289080  18.763063  0.055269  1.271230  0.062751
167  1040.113009  1099.738051  18.720812  0.068705  1.376885  0.069068
168  1100.868321  1129.263534  18.603410  0.088506  1.330458  0.072004
169  1142.109962  1080.266301  18.677580  0.105359  1.210611  0.111522
170  1132.983419  1029.653975  18.641167  0.059152  1.359696  0.085564
171  962.269471  971.176878  18.652911  0.134693  1.295953  0.094459
172  908.645212  985.445704  18.389886  0.117180  1.316197  0.050312
173  1082.235208  902.608671  18.497581  0.084422  1.253496  0.053330
174  998.416609  1108.916716  18.343869  0.098080  1.472034  0.081030
175  1137.822003  1069.277061  18.304713  0.075409  1.392024  0.115146
176  932.680090  1036.907151  18.162894  0.056662  1.619898  0.143929
177  1102.472806  942.555382  18.156245  0.066222  1.190656  0.105374
178  1113.571860  1024.043356  17.924864  0.078032  1.322796  0.044492
179  1005.081149  1017.811886  17.978096  0.092037  1.425779  0.152225
180  1166.504550  1078.806938  17.810029  0.096412  1.274572  0.053790
181  965.431992  1109.998633  17.680617  0.107331  1.271269  0.048098
182  1058.604585  1043.255972  17.672010  0.115742  1.322181  0.061353
183  996.263014  1154.520371  17.567268  0.077996  1.359080  0.047194
184  1093.043589  1059.692442  17.252745  0.072508  1.171025  0.090664
185  996.863324  930.773709  17.419985  0.081031  1.275148  0.044597
186  897.128305  1150.683116  17.340779  0.041815  1.311727  0.044492
187  1073.202729  1016.442143  17.219891  0.071539  1.226751  0.053980
188  1106.279465  1043.195924  17.193751  0.034142  1.275447  0.059582
189  911.556465  972.881613  16.993229  0.048665  1.309983  0.034728
190  1012.021330  997.040067  16.990285  0.057783  1.337815  0.045598
191  1019.637350  921.480233  16.907875  0.047640  1.197378  0.054321
192  976.010117  1024.663429  16.704708  0.050769  1.278099  0.033119
193  943.102444  965.399736  16.533710  0.043268  1.200515  0.044408
194  959.311421  1090.760315  16.170404  0.028935  1.116608  0.041105
195  1144.104673  1043.227750  16.070565  0.042947  1.257273  0.080780
