# id  x  y  V  eV  BV  eBV
11  988.700303  1033.269699  21.907570  0.196711  1.556422  0.318176
110  1046.176952  1055.228887  21.356691  0.182872  1.493139  0.190156
111  993.739551  1043.435786  20.888655  0.201109  1.167511  0.227655
112  1017.590211  1088.387338  20.575258  0.207523  1.317058  0.152089
115  918.477005  1094.948495  20.478729  0.156442  1.640722  0.193324
116  925.981430  1170.712433  20.289030  0.125481  1.445058  0.155494
117  1009.909187  1085.162619  20.491355  0.156612  1.507571  0.198674
118  930.167562  1030.674637  20.275563  0.140940  1.474396  0.102649
119  998.594089  847.665459  19.893766  0.165205  1.447712  0.207767
120  1080.980521  990.812221  19.709661  0.193973  1.090171  0.170372
121  946.583040  961.381335  19.529882  0.075242  1.473850  0.106410
122  1058.207334  914.473472  19.522639  0.087965  1.358782  0.087410
123  1193.953710  1032.055808  19.179386  0.151435  1.354409  0.060909
124  1135.433789  940.277780  19.009950  0.057112  1.328974  0.093882
125  1027.345551  891.916861  18.761167  0.063130  1.351022  0.124228
126  1104.762798  1004.533248  18.579501  0.121847  1.257063  0.068109
127  917.179003  915.091190  18.180649  0.131103  1.412830  0.067733
128  1040.069120  1075.060347  17.876199  0.090093  1.142168  0.076180
129  1050.248991  1083.544678  17.315153  0.105818  1.323559  0.108981
130  1087.599677  927.725793  16.588514  0.067359  1.065025  0.043392
131  1043.055432  1021.345731  16.366412  0.030659  1.035422  0.044938
132  1091.264020  957.848535  15.299475  0.036990  0.871386  0.024459
133  982.000640  1013.138207  14.812954  0.040415  0.783844  0.051715
134  895.751066  1112.681226  13.810696  0.031256  0.518209  0.022430
135  1016.037458  1137.958113  13.217532  0.034685  0.538822  0.036254
136  1009.639977  892.796805  12.155973  0.037966  0.193680  0.048395
137  924.844954  975.976325  11.797951  0.036956  0.118313  0.017525
138  926.095790  928.081674  10.274738  0.018251  0.019102  0.042203
139  972.292895  1188.460360  8.371711  0.050635  -0.084303  0.024608
140  1169.119048  949.156188  13.902721  0.057096  0.513249  0.054940
141  1017.132483  956.545311  20.273777  0.196476  1.349406  0.175078
20  1223.819552  1960.776855  12.134998  0.039035  3.015713  0.074526
21  1978.760859  1413.720351  10.156668  0.018464  1.389741  0.028754
22  31.531249  449.471172  13.050581  0.036041  2.865355  0.038027
23  345.161473  1404.434157  8.862507  0.016513  0.107431  0.035998
24  1972.985720  636.065466  8.388860  0.025781  -0.010659  0.037029
25  639.444851  390.582479  8.647867  0.021240  -0.077810  0.035216
26  2032.725451  1204.545051  10.086874  0.016616  0.628791  0.020371
27  186.186257  1021.464834  9.291155  0.025841  0.015130  0.028592
28  999.750409  623.847860  9.416054  0.029038  0.136691  0.020122
29  1103.438117  1668.385828  14.728640  0.024872  3.213332  0.054702
210  975.146193  1732.212534  12.412412  0.035575  1.436057  0.019418
211  57.858216  1443.724215  10.613429  0.017602  0.517463  0.026681
212  1585.503822  615.783628  11.137394  0.021846  0.440290  0.025657
213  402.958778  1495.518464  11.300005  0.031728  0.734479  0.035203
214  99.387074  159.875797  10.524074  0.026471  -0.117792  0.023213
215  841.248870  211.506878  16.048594  0.040652  3.045284  0.027967
216  1563.315418  1071.552520  12.653312  0.033178  1.066774  0.019224
217  3.988137  190.430768  11.294169  0.017084  0.451907  0.020441
218  549.260271  147.434546  12.902750  0.034771  0.834897  0.050977
219  2028.844015  197.325033  11.495468  0.031775  0.101495  0.024209
220  807.901454  1346.355824  11.658042  0.036088  0.375728  0.017207
221  1820.796802  767.929102  12.656217  0.043105  0.670461  0.041314
222  675.578115  907.151720  18.225564  0.085389  3.733511  0.083541
223  1883.034621  516.040527  12.506918  0.027552  0.339546  0.024815
224  1674.428564  621.889939  16.018852  0.033081  2.506747  0.033892
225  1986.246267  816.279304  13.782373  0.027737  0.978542  0.035705
226  1409.672920  33.016965  15.012875  0.028089  1.667660  0.038264
227  1550.545781  1626.600472  13.209835  0.041842  0.792817  0.022276
228  813.394190  1913.174013  13.691689  0.027018  1.028967  0.036494
229  1.997633  457.879804  13.086472  0.047820  0.316889  0.023924
230  1034.872259  738.223434  13.288500  0.029660  0.374624  0.025157
231  1657.975659  1259.224715  12.891509  0.021728  0.373345  0.041819
232  1408.248158  1408.048199  12.866722  0.031806  0.094313  0.019225
233  126.332690  1744.310597  16.630502  0.065375  2.550862  0.050926
234  798.845954  1817.207218  15.441763  0.040984  1.736010  0.038864
235  132.283094  1108.069355  12.365223  0.054289  0.022170  0.028757
236  1863.618687  1721.078316  12.826797  0.019535  0.252586  0.037464
237  1857.745918  1965.570933  12.888967  0.027297  0.457930  0.035129
238  2021.624637  1384.850142  12.925921  0.028882  0.071671  0.020780
239  30.355146  1854.211215  15.672078  0.031251  1.614319  0.029359
240  75.476811  1558.367861  14.202224  0.044473  0.909916  0.028014
241  376.928276  1035.675100  13.363681  0.036960  0.313580  0.046140
242  1241.151179  1087.274858  13.872093  0.031824  0.429749  0.021792
243  1452.100180  67.206267  14.231919  0.020980  0.827113  0.030049
244  540.267500  1081.377091  14.064299  0.035764  0.483447  0.021783
245  519.118689  951.197890  14.834748  0.036805  1.150704  0.039353
246  1004.828311  526.802639  13.599465  0.029629  0.324459  0.020391
247  1831.452285  1168.930434  13.762091  0.028248  0.601982  0.057446
248  1633.885505  993.397950  12.951643  0.034251  0.018859  0.051298
249  1998.892688  591.646830  13.694417  0.039182  0.530739  0.027384
250  1186.310928  969.373496  13.958154  0.021602  0.601701  0.024488
251  709.670948  1607.467117  12.961986  0.034751  0.177419  0.031027
252  199.550764  170.341786  14.936026  0.041421  0.687113  0.030132
253  1874.837643  217.606380  18.904723  0.094587  3.047410  0.055660
254  1007.724268  287.283358  14.208685  0.060386  0.436488  0.035463
255  583.969420  561.771688  15.229616  0.047103  0.882543  0.054043
256  1602.911122  1819.930725  15.007198  0.039724  0.906091  0.057520
257  1997.768277  763.710803  19.363482  0.062243  3.126906  0.059962
258  608.395862  1531.822380  14.270667  0.033418  0.348640  0.026688
259  895.819448  1846.627778  14.443912  0.039934  0.637049  0.026711
260  572.270913  1580.132235  13.362789  0.030918  0.018437  0.043811
261  1783.544725  1405.414331  17.007970  0.068949  2.053849  0.061206
262  262.846456  409.544262  13.744344  0.028545  0.051540  0.034943
263  135.737181  695.400167  16.074550  0.035078  1.469789  0.035188
264  988.485657  1870.139972  13.973925  0.022724  0.359006  0.039676
265  486.920958  84.922588  15.220281  0.031619  1.119024  0.032400
266  488.362363  1322.038990  15.469130  0.048033  1.046711  0.049849
267  952.008345  706.489492  14.481899  0.037794  0.552239  0.042646
268  972.704482  1938.389931  14.330383  0.027575  0.607924  0.025840
269  1152.084973  637.372076  14.098396  0.028204  0.434400  0.044863
