# id  x  y  V  eV  BV  eBV
116  1043.916145  951.866798  21.262107  0.272922  1.457005  0.319701
123  1089.519288  1043.751916  21.114784  0.158863  1.365640  0.128939
126  1059.474391  1058.000384  20.740442  0.174441  1.414244  0.251891
130  819.969782  1054.223401  20.618404  0.118125  1.382482  0.227222
131  1021.348577  911.078871  21.031515  0.128115  1.606391  0.204660
133  968.945275  1022.853018  20.841677  0.099357  1.505076  0.117749
134  1030.058885  912.738202  20.708521  0.168698  1.562647  0.111950
135  978.731622  1082.060472  20.601698  0.234816  2.066123  0.304688
138  908.986982  1094.974525  20.234526  0.121250  1.357958  0.106614
139  1051.434045  949.741281  20.444796  0.180716  1.542409  0.103708
140  869.041889  1021.405164  20.163288  0.265068  1.352684  0.137350
141  1124.117135  964.179722  20.237835  0.135718  1.398631  0.106746
142  1086.268088  902.141317  20.226053  0.096387  1.757493  0.167035
143  1080.132383  1048.295485  19.985452  0.186020  1.234614  0.180721
144  918.241894  990.768968  20.234783  0.089860  1.425815  0.123703
145  949.409014  1011.823739  19.881855  0.177551  1.516192  0.114679
146  929.471836  884.402934  19.861680  0.187203  1.287424  0.144241
147  988.921016  1099.373548  19.838326  0.126317  1.438791  0.102846
148  1165.547684  1142.949601  20.068706  0.099941  1.324819  0.122319
149  937.975849  1113.315451  20.033971  0.188265  1.299887  0.138724
150  1130.986865  997.933896  20.047911  0.219500  1.433404  0.081635
151  959.636931  1033.214628  19.707275  0.119424  1.450105  0.075287
152  989.920686  906.855690  19.642494  0.095112  1.147622  0.218026
153  969.265439  920.613990  19.757279  0.125503  1.319950  0.097507
154  1173.860270  1001.077473  19.655300  0.093385  1.489807  0.086406
155  999.016735  1060.726088  19.808821  0.167886  1.369169  0.078368
156  1087.434240  1006.894838  19.545142  0.081806  1.261651  0.070399
157  838.551511  991.046410  19.403667  0.143297  1.519359  0.141486
158  1178.128036  1059.699057  19.286095  0.065976  1.220819  0.061633
159  996.094484  964.258263  19.231792  0.078708  1.316866  0.088114
160  1005.196554  959.487980  19.059274  0.068531  1.376872  0.067146
161  1013.195162  1102.764360  18.975881  0.084334  1.306578  0.086576
