# id  x  y  V  eV  BV  eBV
126  940.849889  890.905334  20.459200  0.362490  1.588314  0.215858
128  1044.285317  971.875881  20.932145  0.244780  1.915746  0.185694
134  1094.296433  1065.672131  20.659320  0.483507  1.510462  0.149510
138  1235.261215  966.521836  20.674006  0.138228  1.557667  0.119789
139  1042.233938  997.180682  20.199214  0.139951  1.800706  0.197650
141  1144.481485  1114.594120  20.780794  0.266245  1.190891  0.273430
142  971.401011  1184.757658  20.389893  0.128756  1.307921  0.118369
143  902.230426  1088.693494  20.285364  0.129534  1.130418  0.264441
145  1058.248212  1012.810629  20.203795  0.193477  1.360475  0.262106
146  958.573588  1037.403648  19.959233  0.172441  1.513138  0.128940
147  1144.461967  1125.925519  20.408044  0.133283  1.481302  0.227178
148  1104.841789  922.325299  20.344863  0.161013  1.351089  0.171575
149  1051.831235  1045.623992  20.291802  0.135365  1.495401  0.120303
150  928.855491  1031.859999  20.065609  0.103229  1.383578  0.148442
151  1022.657126  1070.501642  20.073565  0.123232  1.152750  0.122959
152  1136.182047  1061.728338  19.995345  0.083305  1.482313  0.078721
153  1048.474092  961.086751  19.885403  0.101354  1.414654  0.105256
154  1039.554601  1109.014180  20.242385  0.149031  1.524823  0.138841
155  1102.891622  1030.638305  19.794278  0.150232  1.372812  0.086372
156  1170.198303  915.155333  19.836754  0.085772  1.574502  0.141239
157  1004.386017  943.170519  19.922589  0.115109  1.093234  0.124875
158  1076.081377  963.088200  19.535671  0.165026  1.427675  0.152959
159  1013.110907  1047.374316  19.727654  0.153169  1.292104  0.119577
160  1161.447793  905.355858  19.582178  0.238965  1.490041  0.081422
161  1129.005158  909.580943  19.682052  0.137116  1.204656  0.140911
162  1040.363766  987.438531  19.793477  0.081490  1.428584  0.163105
163  989.831332  1160.097792  19.723651  0.120120  1.311269  0.073289
164  986.468311  1048.976548  19.642248  0.071598  1.387257  0.076078
165  1089.324954  984.294420  19.530622  0.093669  1.487255  0.128046
166  1085.397668  916.708844  19.720743  0.137580  1.211876  0.204237
167  1086.201098  890.333266  19.486354  0.118197  1.313442  0.139181
168  1063.017226  921.436099  19.442816  0.072693  1.694933  0.141469
169  984.744305  983.262351  19.367575  0.075329  1.580518  0.130664
170  1074.532516  1003.504599  19.455063  0.109767  1.497919  0.075232
171  1000.064655  1025.819607  19.299348  0.103783  1.351282  0.091113
172  895.471206  929.507471  19.124560  0.208897  1.308399  0.071554
173  970.763571  1028.116460  19.328441  0.059840  1.134223  0.126315
174  1211.830026  1135.565025  19.275211  0.063925  1.406904  0.115024
175  1014.307942  946.307441  19.124803  0.110736  1.337590  0.064915
176  910.035538  963.636306  19.039181  0.089033  1.362052  0.095316
177  1049.504154  1181.609062  19.030917  0.088574  1.345844  0.065429
178  1132.789535  1086.730035  18.914521  0.087498  1.303243  0.088127
179  1126.531154  1117.149020  18.951202  0.113020  1.456163  0.172981
180  1010.349445  1197.248676  18.918433  0.075614  1.365720  0.075395
181  923.718205  1116.408033  18.854020  0.075316  1.326798  0.102043
182  1083.767460  1149.037404  18.958887  0.095211  1.289171  0.073502
183  1023.486587  996.926935  18.583081  0.118774  1.346445  0.077460
184  920.132301  1019.129897  18.756731  0.068477  1.356413  0.055496
185  1106.238587  1009.885778  18.587083  0.066176  1.102633  0.135001
186  1031.705559  1125.858755  18.628958  0.068220  1.279580  0.064055
187  882.018079  886.064169  18.482687  0.064426  1.331441  0.115920
188  1160.460493  1096.615260  18.534492  0.090037  1.349136  0.076177
189  910.094234  1112.951788  18.574017  0.116422  1.229484  0.089314
190  896.065843  962.990879  18.291390  0.060035  1.182825  0.080544
191  1072.061460  992.513331  18.216469  0.084988  1.324233  0.120171
192  1131.680338  1114.807542  18.280100  0.130845  1.132348  0.066701
193  1056.896963  1041.162117  18.279194  0.102899  1.344798  0.053237
194  835.387269  911.536148  17.700370  0.178941  1.158999  0.115053
195  1010.057216  964.059566  18.050961  0.053825  1.215962  0.047637
196  1148.415816  994.118103  17.993644  0.129930  1.297356  0.079709
197  841.589371  941.316321  17.903892  0.066545  1.409627  0.048036
198  951.577518  1104.774963  17.771029  0.067869  1.353033  0.053939
199  1113.926103  1121.103155  17.811999  0.046151  1.399232  0.060903
1100  1107.142451  949.110702  17.868126  0.097540  1.269859  0.085651
1101  1035.167990  1076.749783  17.458859  0.061544  1.216515  0.079984
1102  950.094500  971.260109  17.714739  0.060210  2.024506  0.168260
1103  986.610156  1069.095506  17.632472  0.104022  1.857393  0.056852
1104  936.821678  933.265244  17.585347  0.045498  2.035644  0.050732
1105  879.708570  944.521585  17.501373  0.062818  1.947408  0.053959
1106  1086.244762  1139.040031  17.326206  0.040259  1.921287  0.064288
1107  1151.773655  991.968358  17.038618  0.050912  1.988164  0.063393
1108  992.016630  910.720471  17.097617  0.064968  2.431304  0.060254
20  1273.579944  318.756189  9.340622  0.021686  0.895512  0.037239
21  1190.135756  407.818833  9.360761  0.023100  0.757721  0.032584
22  473.980186  1548.471779  13.682829  0.020413  2.888605  0.035357
23  1623.369679  690.200655  11.609131  0.019768  1.505983  0.048532
24  2041.255750  498.258705  10.443848  0.024072  0.628677  0.036824
25  520.034408  585.672102  11.361421  0.034966  1.246034  0.040369
26  1725.398239  383.785311  11.006539  0.017196  0.803497  0.033977
27  1097.366989  126.062818  15.517753  0.032252  3.433037  0.027945
28  43.919129  1344.479239  10.633696  0.019348  0.701390  0.024210
29  381.446241  1491.315768  10.749724  0.030853  0.527628  0.039895
210  1337.151186  1279.160729  12.360074  0.017877  1.138457  0.023385
211  421.628751  1136.672418  12.016819  0.040989  0.932179  0.043950
212  726.609277  821.548141  11.931170  0.029414  0.833406  0.049883
213  796.716971  417.046883  11.516867  0.023551  0.600482  0.030842
214  1529.441432  550.506033  12.411936  0.041636  0.667831  0.024062
215  1623.529283  1384.242312  16.665294  0.068853  3.203737  0.042016
216  1504.869140  690.101332  12.194551  0.019101  0.732270  0.031227
217  723.847500  1949.300311  12.638479  0.028567  0.794232  0.023976
218  74.059288  1308.638604  14.274526  0.031307  1.457345  0.038596
219  835.338360  1311.829441  13.505479  0.041683  1.061254  0.032945
220  648.073277  1418.112936  15.017801  0.036940  2.053056  0.027886
221  2016.608129  131.937387  14.496189  0.040321  1.477665  0.040446
222  1241.203232  1694.275061  13.663740  0.023369  1.023665  0.044914
223  1903.581537  1084.598970  13.547651  0.041732  0.874497  0.039799
224  1748.652137  1504.234258  14.098099  0.024725  1.075915  0.035965
